MSRDT,MSRSTE_NM,NO2,O3,CO,SO2,PM10,PM25,
1,2.01001E+11,"강남구,0.037",0.005,0.5,0.005,32,27,NA
2,2.01001E+11,"강남구,0.027",0.011,0.4,0.005,30,29,NA
3,2.01001E+11,"강남구,0.034",0.006,0.5,0.005,35,23,NA
4,2.01001E+11,"강남구,0.03",0.008,0.5,0.005,36,23,NA
5,2.01001E+11,"강남구,0.03",0.008,0.5,0.005,31,23,NA
6,2.01001E+11,"강남구,0.027",0.009,0.4,0.005,33,25,NA
7,2.01001E+11,"강남구,0.03",0.008,0.4,0.006,36,23,NA
8,2.01001E+11,"강남구,0.037",0.004,0.5,0.006,28,21,NA
9,2.01001E+11,"강남구,0.041",0.002,0.6,0.006,38,22,NA
10,2.01001E+11,"강남구,0.044",0.004,0.7,0.007,37,22,NA
11,2.01001E+11,"강남구,0.037",0.007,0.6,0.007,33,19,NA
12,2.01001E+11,"강남구,0.035",0.01,0.6,0.007,31,16,NA
13,2.01001E+11,"강남구,0.031",0.013,0.5,0.006,41,24,NA
14,2.01001E+11,"강남구,0.033",0.013,0.6,0.006,29,17,NA
15,2.01001E+11,"강남구,0.034",0.013,0.6,0.006,41,28,NA
16,2.01001E+11,"강남구,0.033",0.012,0.6,0.007,36,19,NA
17,2.01001E+11,"강남구,0.042",0.007,0.6,0.007,36,22,NA
18,2.01001E+11,"강남구,0.048",0.004,0.7,0.007,37,21,NA
19,2.01001E+11,"강남구,0.049",0.002,0.7,0.006,35,24,NA
20,2.01001E+11,"강남구,0.053",0.002,0.7,0.007,37,25,NA
21,2.01001E+11,"강남구,0.054",0.002,0.8,0.006,38,25,NA
22,2.01001E+11,"강남구,0.042",0.003,0.6,0.006,52,30,NA
23,2.01001E+11,"강남구,0.036",0.004,0.5,0.005,43,33,NA
24,2.01001E+11,"강남구,0.034",0.005,0.4,0.005,43,36,NA
25,2.01001E+11,"강동구,0.026",0.012,0.3,0.007,23,13,NA
26,2.01001E+11,"강동구,0.028",0.01,0.3,0.007,19,13,NA
27,2.01001E+11,"강동구,0.025",0.012,0.3,0.007,24,15,NA
28,2.01001E+11,"강동구,0.016",0.02,0.2,0.008,24,13,NA
29,2.01001E+11,"강동구,0.015",0.022,0.2,0.008,23,15,NA
30,2.01001E+11,"강동구,0.023",0.014,0.3,0.008,27,17,NA
31,2.01001E+11,"강동구,0.031",0.007,0.3,0.008,25,15,NA
32,2.01001E+11,"강동구,0.031",0.005,0.4,0.009,29,20,NA
33,2.01001E+11,"강동구,0.034",0.004,0.5,0.008,31,19,NA
34,2.01001E+11,"강동구,0.032",0.006,0.5,0.007,33,25,NA
35,2.01001E+11,"강동구,0.028",0.009,0.5,0.009,36,22,NA
36,2.01001E+11,"강동구,0.025",0.014,0.4,0.01,30,20,NA
37,2.01001E+11,"강동구,0.021",0.019,0.3,0.01,29,19,NA
38,2.01001E+11,"강동구,0.018",0.024,0.3,0.008,22,14,NA
39,2.01001E+11,"강동구,0.016",0.024,0.3,0.008,26,16,NA
40,2.01001E+11,"강동구,0.021",0.019,0.3,0.009,28,21,NA
41,2.01001E+11,"강동구,0.028",0.013,0.3,0.009,29,22,NA
42,2.01001E+11,"강동구,0.032",0.009,0.3,0.009,28,22,NA
43,2.01001E+11,"강동구,0.037",0.004,0.4,0.009,33,24,NA
