MSRDT,MSRSTE_NM,NO2,O3,CO,SO2,PM10,PM25
201203062300,강남구,0.039,0.012,0.8,0.006,71.0,42.0
201203062200,강남구,0.037,0.011,0.9,0.005,96.0,53.0
201203062100,강남구,0.04,0.01,1.0,0.006,110.0,54.0
201203062000,강남구,0.041,0.011,1.0,0.006,111.0,53.0
201203061900,강남구,0.036,0.017,0.9,0.007,117.0,71.0
201203061800,강남구,0.034,0.021,1.0,0.008,130.0,79.0
201203061700,강남구,0.036,0.021,1.2,0.009,147.0,90.0
201203061600,강남구,0.037,0.021,1.4,0.012,160.0,106.0
201203061500,강남구,0.032,0.019,1.3,0.011,144.0,101.0
201203061400,강남구,0.032,0.012,1.1,0.008,87.0,59.0
201203061300,강남구,0.023,0.011,0.7,0.004,24.0,14.0
201203061200,강남구,0.02,0.013,0.3,0.003,15.0,10.0
201203061100,강남구,0.025,0.011,0.3,0.004,9.0,4.0
201203061000,강남구,0.027,0.006,0.3,0.004,13.0,10.0
201203060900,강남구,0.03,0.002,0.5,0.004,18.0,15.0
201203060800,강남구,0.032,0.002,0.4,0.004,9.0,6.0
201203060700,강남구,0.026,0.006,0.3,0.003,3.0,3.0
201203060600,강남구,0.016,0.012,0.2,0.003,2.0,2.0
201203060500,강남구,0.012,0.016,0.2,0.003,3.0,3.0
201203060400,강남구,0.011,0.016,0.2,0.003,3.0,1.0
201203060300,강남구,0.011,0.017,0.2,0.003,0.0,2.0
201203060200,강남구,0.013,0.016,0.2,0.003,4.0,0.0
201203060100,강남구,0.021,0.012,0.2,0.004,3.0,6.0
201203060000,강남구,0.03,0.008,0.3,0.004,6.0,0.0
201203062300,강동구,0.038,0.027,0.9,0.009,67.0,51.0
201203062200,강동구,0.036,0.023,1.0,0.008,107.0,66.0
201203062100,강동구,0.048,0.013,1.1,0.009,128.0,65.0
201203062000,강동구,0.043,0.018,1.1,0.009,106.0,58.0
201203061900,강동구,0.043,0.022,1.1,0.009,124.0,68.0
201203061800,강동구,0.039,0.031,1.1,0.01,133.0,77.0
201203061700,강동구,0.045,0.029,1.4,0.012,150.0,91.0
201203061600,강동구,0.045,0.026,1.5,0.011,154.0,96.0
201203061500,강동구,0.043,0.023,1.3,0.01,135.0,84.0
201203061400,강동구,0.037,0.018,1.2,0.007,70.0,43.0
201203061300,강동구,0.028,0.018,0.6,0.005,24.0,15.0
201203061200,강동구,0.026,0.022,0.4,0.003,15.0,6.0
201203061100,강동구,0.025,0.021,0.4,0.005,12.0,7.0
201203061000,강동구,0.027,0.013,0.4,0.005,13.0,8.0
201203060900,강동구,0.031,0.004,0.5,0.005,11.0,10.0
201203060800,강동구,0.033,0.007,0.4,0.005,4.0,1.0
201203060700,강동구,0.024,0.018,0.3,0.005,2.0,2.0
201203060600,강동구,0.014,0.028,0.3,0.004,3.0,2.0
201203060500,강동구,0.014,0.031,0.2,0.004,5.0,1.0
201203060400,강동구,0.009,0.035,0.2,0.005,1.0,2.0
201203060300,강동구,0.012,0.034,0.3,0.004,2.0,4.0
201203060200,강동구,0.015,0.033,0.2,0.004,2.0,1.0
201203060100,강동구,0.019,0.03,0.3,0.004,4.0,3.0
201203060000,강동구,0.02,0.031,0.3,0.004,3.0,3.0
201203062300,강북구,0.029,0.033,0.7,0.006,77.0,50.0
201203062200,강북구,0.033,0.027,0.8,0.006,78.0,51.0
201203062100,강북구,0.033,0.027,1.0,0.006,89.0,58.0
201203062000,강북구,0.032,0.03,0.9,0.006,105.0,62.0
201203061900,강북구,0.034,0.032,0.9,0.006,109.0,59.0
201203061800,강북구,0.032,0.039,0.9,0.008,130.0,73.0
201203061700,강북구,0.034,0.039,1.2,0.01,143.0,77.0
201203061600,강북구,0.035,0.036,1.3,0.01,151.0,86.0
201203061500,강북구,0.033,0.035,1.2,0.009,135.0,77.0
201203061400,강북구,0.03,0.025,1.0,0.006,111.0,66.0
201203061300,강북구,0.019,0.026,0.6,0.003,49.0,30.0
201203061200,강북구,0.017,0.03,0.2,0.002,24.0,12.0
201203061100,강북구,0.021,0.026,0.2,0.002,14.0,6.0
201203061000,강북구,0.027,0.016,0.3,0.002,21.0,9.0
201203060900,강북구,0.03,0.007,0.3,0.002,13.0,9.0
201203060800,강북구,0.041,0.003,0.4,0.001,7.0,0.0
201203060700,강북구,0.04,0.007,0.3,0.001,9.0,4.0
201203060600,강북구,0.023,0.021,0.3,0.001,3.0,1.0
201203060500,강북구,0.018,0.027,0.2,0.001,6.0,5.0
201203060400,강북구,0.012,0.033,0.2,0.001,7.0,0.0
201203060300,강북구,0.011,0.035,0.2,0.001,5.0,1.0
201203060200,강북구,0.012,0.035,0.2,0.001,9.0,6.0
201203060100,강북구,0.019,0.031,0.2,0.001,7.0,4.0
201203060000,강북구,0.02,0.03,0.2,0.002,9.0,7.0
201203062300,강서구,0.031,0.032,0.0,0.008,82.0,54.0
201203062200,강서구,0.027,0.034,1.0,0.008,81.0,50.0
201203062100,강서구,0.031,0.027,1.2,0.008,104.0,50.0
201203062000,강서구,0.038,0.021,1.4,0.009,119.0,68.0
201203061900,강서구,0.043,0.019,1.3,0.01,132.0,70.0
201203061800,강서구,0.037,0.028,1.2,0.01,150.0,80.0
201203061700,강서구,0.032,0.038,1.4,0.009,147.0,92.0
201203061600,강서구,0.033,0.037,1.6,0.014,162.0,108.0
201203061500,강서구,0.035,0.034,1.7,0.014,168.0,0.0
201203061400,강서구,0.029,0.032,1.6,0.013,139.0,0.0
201203061300,강서구,0.025,0.023,1.3,0.008,56.0,0.0
201203061200,강서구,0.022,0.021,0.6,0.004,20.0,20.0
201203061100,강서구,0.023,0.023,0.6,0.004,21.0,11.0
201203061000,강서구,0.027,0.017,0.6,0.004,12.0,8.0
201203060900,강서구,0.027,0.011,0.6,0.004,22.0,12.0
201203060800,강서구,0.026,0.007,0.6,0.005,16.0,11.0
201203060700,강서구,0.026,0.011,0.6,0.004,6.0,6.0
201203060600,강서구,0.029,0.014,0.5,0.003,5.0,6.0
201203060500,강서구,0.022,0.021,0.5,0.004,3.0,5.0
201203060400,강서구,0.017,0.025,0.5,0.004,4.0,4.0
201203060300,강서구,0.017,0.027,0.5,0.004,5.0,4.0
201203060200,강서구,0.022,0.023,0.5,0.004,6.0,5.0
201203060100,강서구,0.029,0.018,0.5,0.004,8.0,4.0
201203060000,강서구,0.037,0.012,0.5,0.004,5.0,5.0
201203062300,관악구,0.036,0.022,1.0,0.009,83.0,58.0
201203062200,관악구,0.035,0.021,1.0,0.008,89.0,61.0
201203062100,관악구,0.039,0.014,1.3,0.008,122.0,66.0
201203062000,관악구,0.037,0.017,1.2,0.008,117.0,55.0
201203061900,관악구,0.034,0.023,1.1,0.007,133.0,60.0
201203061800,관악구,0.031,0.029,1.2,0.008,136.0,71.0
201203061700,관악구,0.031,0.032,1.3,0.011,148.0,83.0
201203061600,관악구,0.037,0.027,1.7,0.015,163.0,96.0
201203061500,관악구,0.031,0.027,1.6,0.013,153.0,90.0
201203061400,관악구,0.031,0.021,1.4,0.011,115.0,70.0
201203061300,관악구,0.024,0.016,1.1,0.007,40.0,23.0
201203061200,관악구,0.02,0.02,0.4,0.002,19.0,11.0
201203061100,관악구,0.018,0.023,0.4,0.002,14.0,4.0
201203061000,관악구,0.02,0.016,0.4,0.003,15.0,10.0
201203060900,관악구,0.021,0.01,0.4,0.003,20.0,10.0
201203060800,관악구,0.02,0.009,0.4,0.004,11.0,7.0
201203060700,관악구,0.019,0.014,0.4,0.002,3.0,1.0
201203060600,관악구,0.019,0.017,0.5,0.002,5.0,4.0
201203060500,관악구,0.021,0.017,0.4,0.002,3.0,2.0
201203060400,관악구,0.019,0.02,0.5,0.002,4.0,1.0
201203060300,관악구,0.014,0.023,0.4,0.002,7.0,5.0
201203060200,관악구,0.016,0.023,0.4,0.002,3.0,2.0
201203060100,관악구,0.024,0.018,0.4,0.002,8.0,6.0
201203060000,관악구,0.032,0.013,0.5,0.002,10.0,6.0
201203062300,광진구,0.023,0.019,1.0,0.005,75.0,52.0
201203062200,광진구,0.024,0.015,1.2,0.005,97.0,53.0
201203062100,광진구,0.031,0.01,1.4,0.005,118.0,71.0
201203062000,광진구,0.029,0.014,1.3,0.005,130.0,73.0
201203061900,광진구,0.029,0.016,1.3,0.005,138.0,79.0
201203061800,광진구,0.026,0.021,1.4,0.006,143.0,89.0
201203061700,광진구,0.032,0.015,1.7,0.006,161.0,100.0
201203061600,광진구,0.03,0.015,1.7,0.007,161.0,104.0
201203061500,광진구,0.029,0.013,1.6,0.006,154.0,96.0
201203061400,광진구,0.026,0.011,1.5,0.005,93.0,72.0
201203061300,광진구,0.022,0.009,0.9,0.003,32.0,23.0
201203061200,광진구,0.02,0.011,0.5,0.002,20.0,10.0
201203061100,광진구,0.018,0.013,0.5,0.002,13.0,6.0
201203061000,광진구,0.019,0.008,0.5,0.002,11.0,5.0
201203060900,광진구,0.02,0.005,0.6,0.003,14.0,5.0
201203060800,광진구,0.024,0.004,0.6,0.003,6.0,3.0
201203060700,광진구,0.024,0.009,0.5,0.002,3.0,2.0
201203060600,광진구,0.016,0.015,0.5,0.002,3.0,2.0
201203060500,광진구,0.014,0.02,0.4,0.002,3.0,2.0
201203060400,광진구,0.01,0.023,0.4,0.002,1.0,0.0
201203060300,광진구,0.01,0.024,0.4,0.002,2.0,2.0
201203060200,광진구,0.013,0.021,0.4,0.002,5.0,2.0
201203060100,광진구,0.015,0.02,0.4,0.002,4.0,3.0
201203060000,광진구,0.015,0.019,0.4,0.002,4.0,3.0
201203062300,구로구,0.04,0.023,1.0,0.009,83.0,58.0
201203062200,구로구,0.039,0.022,1.1,0.008,85.0,58.0
201203062100,구로구,0.045,0.015,1.3,0.008,121.0,66.0
201203062000,구로구,0.043,0.017,1.2,0.007,114.0,56.0
201203061900,구로구,0.04,0.021,1.2,0.008,128.0,61.0
201203061800,구로구,0.038,0.026,1.3,0.008,133.0,72.0
201203061700,구로구,0.039,0.027,1.5,0.01,150.0,86.0
201203061600,구로구,0.043,0.025,1.6,0.014,166.0,99.0
201203061500,구로구,0.04,0.024,1.5,0.013,162.0,98.0
201203061400,구로구,0.037,0.021,1.3,0.012,132.0,79.0
201203061300,구로구,0.032,0.017,0.8,0.009,43.0,30.0
201203061200,구로구,0.026,0.019,0.4,0.003,25.0,7.0
201203061100,구로구,0.024,0.022,0.4,0.003,7.0,7.0
201203061000,구로구,0.027,0.017,0.4,0.003,18.0,7.0
201203060900,구로구,0.031,0.011,0.5,0.003,21.0,11.0
201203060800,구로구,0.029,0.009,0.4,0.004,13.0,10.0
201203060700,구로구,0.028,0.012,0.4,0.003,1.0,0.0
201203060600,구로구,0.025,0.018,0.4,0.003,4.0,5.0
201203060500,구로구,0.026,0.018,0.4,0.003,1.0,1.0
201203060400,구로구,0.02,0.022,0.4,0.003,6.0,6.0
201203060300,구로구,0.018,0.024,0.4,0.003,2.0,1.0
201203060200,구로구,0.02,0.023,0.4,0.003,4.0,4.0
201203060100,구로구,0.026,0.021,0.4,0.003,3.0,1.0
201203060000,구로구,0.043,0.01,0.4,0.003,7.0,3.0
201203062300,금천구,0.037,0.023,0.9,0.007,76.0,51.0
201203062200,금천구,0.034,0.025,0.9,0.007,66.0,43.0
