MSRDT,MSRSTE_NM,NO2,O3,CO,SO2,PM10,PM25
202007120600,강남구,0.008,0.032,0.3,0.002,10.0,7.0
202007120500,강남구,0.006,0.033,0.3,0.002,9.0,8.0
202007120400,강남구,0.005,0.034,0.3,0.003,9.0,8.0
202007120300,강남구,0.006,0.033,0.3,0.002,9.0,9.0
202007120200,강남구,0.006,0.033,0.3,0.002,10.0,9.0
202007120100,강남구,0.008,0.032,0.3,0.002,7.0,7.0
202007120000,강남구,0.009,0.031,0.3,0.002,7.0,9.0
202007121400,강남구,0.013,0.031,0.3,0.002,11.0,8.0
202007121300,강남구,0.013,0.03,0.3,0.002,13.0,8.0
202007121200,강남구,0.016,0.026,0.3,0.002,13.0,9.0
202007121100,강남구,0.016,0.024,0.3,0.002,10.0,6.0
202007121000,강남구,0.014,0.025,0.3,0.002,11.0,7.0
202007120900,강남구,0.012,0.026,0.3,0.002,18.0,8.0
202007120800,강남구,0.01,0.029,0.3,0.002,11.0,7.0
202007120700,강남구,0.009,0.03,0.3,0.002,11.0,6.0
202007122100,강남구,0.018,0.016,0.4,0.002,10.0,11.0
202007122000,강남구,0.019,0.016,0.4,0.002,13.0,10.0
202007121900,강남구,0.017,0.018,0.4,0.002,15.0,11.0
202007121800,강남구,0.016,0.022,0.4,0.002,17.0,12.0
202007121700,강남구,0.015,0.027,0.3,0.002,14.0,11.0
202007121600,강남구,0.012,0.03,0.3,0.002,12.0,9.0
202007121500,강남구,0.012,0.031,0.3,0.002,8.0,9.0
202007122300,강남구,0.018,0.013,0.3,0.002,14.0,12.0
202007122200,강남구,0.02,0.012,0.4,0.002,12.0,11.0
202007120600,강동구,0.005,0.03,0.3,0.003,11.0,7.0
202007120500,강동구,0.005,0.03,0.3,0.003,12.0,4.0
202007120400,강동구,0.004,0.031,0.3,0.002,12.0,8.0
202007120300,강동구,0.005,0.03,0.3,0.002,12.0,7.0
202007120200,강동구,0.006,0.029,0.3,0.003,12.0,8.0
202007120100,강동구,0.005,0.029,0.3,0.003,12.0,8.0
202007120000,강동구,0.007,0.028,0.3,0.003,10.0,8.0
202007121400,강동구,0.009,0.027,0.3,0.003,12.0,8.0
202007121300,강동구,0.006,0.028,0.3,0.003,23.0,8.0
202007121200,강동구,0.01,0.025,0.3,0.003,16.0,8.0
202007121100,강동구,0.01,0.024,0.3,0.003,17.0,9.0
202007121000,강동구,0.009,0.025,0.3,0.003,27.0,7.0
202007120900,강동구,0.008,0.026,0.3,0.002,13.0,5.0
202007120800,강동구,0.007,0.027,0.3,0.003,17.0,7.0
202007120700,강동구,0.006,0.028,0.3,0.003,15.0,5.0
202007122100,강동구,0.011,0.015,0.3,0.002,12.0,11.0
202007122000,강동구,0.011,0.016,0.3,0.003,14.0,10.0
202007121900,강동구,0.011,0.017,0.3,0.003,20.0,13.0
202007121800,강동구,0.014,0.018,0.4,0.003,21.0,13.0
202007121700,강동구,0.013,0.021,0.4,0.003,16.0,10.0
202007121600,강동구,0.01,0.025,0.3,0.003,13.0,10.0
202007121500,강동구,0.01,0.027,0.3,0.002,12.0,9.0
202007122300,강동구,0.014,0.012,0.3,0.003,13.0,11.0
202007122200,강동구,0.016,0.01,0.3,0.003,15.0,11.0
