기간	구분	구분	한국여행중 서울방문	서울 내 방문지	서울 내 방문지	서울 내 방문지	서울 내 방문지	서울 내 방문지	서울 내 방문지	서울 내 방문지	서울 내 방문지	서울 내 방문지	서울 내 방문지
기간	구분	구분	한국여행중 서울방문	명동	동대문시장	남대문시장	고궁	남산/N서울타워	인사동	박물관(기념관)	잠실(롯데월드)	이태원	신촌/홍대주변
2012	전체	전체	82.5	74.5	59.4	38.5	39.1	35	31.7	27.1	28.2	21.4	20
2012	성별	남성	76.6	63.2	52	37	41.6	34.4	29.4	30.1	25.8	23.9	15.2
2012	성별	여성	87.9	83.6	65.3	39.7	37.1	35.5	33.5	24.8	30.2	19.4	23.9
2012	연령별	15~20세	94.7	88.9	78	31.4	34.6	39.4	24.3	32	52.5	18.7	32.5
2012	연령별	21~30세	91.4	82.1	69.1	40	40.8	42.9	36	30.4	36.1	26.7	32.1
2012	연령별	31~40세	80	73.2	59.1	38.5	37.7	33.4	28.6	24	25	20.4	14.3
2012	연령별	41~50세	78.2	66.2	49.8	37.8	37.6	27	29	25.9	22	18.1	12.1
2012	연령별	51~60세	77.1	66	43.5	38.1	39.2	27.6	33	25	15.7	15.9	8.7
2012	연령별	61세이상	61.4	59.6	40.8	37.8	45.4	25.7	33.5	23.2	12.4	17.4	5.2
2012	방한목적	여가/위락/휴가	86.7	83.4	67.7	40.4	46.4	40.5	33	30.7	32.8	18	19.2
2012	방한목적	뷰티 건강 및 치료	82.2	79.9	56.2	47.2	18.7	21.2	23	11.8	27.2	11.2	13.1
2012	방한목적	종교 및 순례	60.8	47.7	42.5	30.3	39.1	20.7	27.5	35.8	12.9	13.6	12.7
2012	방한목적	쇼핑	94.2	95.1	69.1	50.6	24.1	27.2	30.3	15.4	21.7	15	18.5
2012	방한목적	친구/친지 방문	78.9	65.4	52.5	36.7	37.9	35.6	38.2	27.8	22	28.9	28.2
2012	방한목적	사업/전문 활동	69.7	43	32.6	26.5	33.5	22.4	23.9	23	16.4	25	9
2012	방한목적	교육	90.8	85.8	77.9	40.6	41.3	52.8	40.2	38.2	56.8	36.2	50.2
2012	방한목적	기타	88.1	60.8	54.1	41.4	52.8	45.3	34.3	60.3	15.7	20.9	5.1
2012	방한횟수	1회	87.9	75.9	64.1	40.4	47.9	42.2	33.2	34.4	33.2	22.6	20.9
2012	방한횟수	2회	73.1	75.3	58.1	36.6	30.5	31.1	31.5	19.6	26.3	19.3	18.9
2012	방한횟수	3회	75.9	71.2	50.3	35.4	26.3	25.8	31.8	16	20.8	20.9	20.9
2012	방한횟수	4회 이상	76.3	70.3	46.9	34.3	19.3	15.4	25.8	11.4	14.6	18.8	17.3
