기간	구분	구분	한국여행중 서울방문	서울 내 방문지	서울 내 방문지	서울 내 방문지	서울 내 방문지	서울 내 방문지	서울 내 방문지	서울 내 방문지	서울 내 방문지	서울 내 방문지	서울 내 방문지	서울 내 방문지
기간	구분	구분	한국여행중 서울방문	명동/남대문/북창	동대문 패션타운	종로/청계	신촌/홍대주변	강남역	이태원	잠실(롯데월드)	코엑스	광화문광장	한강/유람선	가로수길
2018	전체	전체	79.4	88.2	61	37.6	35.6	27.8	23.8	22.4	12.4	11.5	10.9	9.5
2018	성별	남성	75.3	81.9	53.4	37.8	28.8	28.7	23.6	21.6	12.9	11.3	10.9	5.7
2018	성별	여성	82.5	92.5	66.2	37.4	40.3	27.1	24	22.9	12.1	11.7	10.9	12.2
2018	연령별	15~20세	92	94.5	64.4	42.4	60.3	35.6	33.2	29.3	19.2	14.2	18.4	18.9
2018	연령별	21~30세	82.7	91.6	64.1	37.8	47.3	32.3	29.5	24.4	14.1	12.4	13.2	12.7
2018	연령별	31~40세	79.9	88.3	63.9	35.7	31.5	25.7	22.3	24.2	11	11.9	10	8.4
2018	연령별	41~50세	75.6	84.5	58	37.9	26	25.2	21.3	19.3	13.1	10.5	8.6	6.5
2018	연령별	51~60세	73.5	83	54.3	38.8	25.4	24.6	17.2	18.7	10	10.9	8.8	6.2
2018	연령별	61세이상	78.3	85.7	53.5	34.7	11.9	16.4	12.3	13.9	6.2	6.3	6.5	3.6
2018	방한목적	여가/위락/휴가	81.5	93.8	67.8	39.6	39.3	27	25	24.1	12.2	12.4	11.3	10.4
2018	방한목적	사업/전문 활동	69.4	58.6	26.9	24.8	12	29.6	15.5	11.4	12	6.2	5.7	3.5
2018	방한목적	교육	88.9	92.9	59.2	48.8	58.6	39.9	35.8	32.8	20.2	17.3	27.7	18.3
2018	방한목적	종교 및 순례	47.3	79.4	39.2	39.8	32.8	12	29.1	8.5	9.3	6	6.6	3.2
2018	방한목적	기타	61.1	80.7	20.8	31.9	15.2	28.7	14	14.9	2.6	-	11.2	-
2018	방한횟수	1회	80.6	91.4	62.4	48.3	36.8	27.9	29.5	24	13.3	13.5	12.9	8.4
2018	방한횟수	2회	76.6	88.7	61.2	36.4	41.5	28.9	23.7	22.2	12.9	11.9	10.7	10.4
2018	방한횟수	3회	78.6	86.7	62.5	27.7	39	27.4	19.5	23.5	11.6	10.8	10.4	11.7
2018	방한횟수	4회 이상	79.7	83.6	58	26.1	29.1	27	17.1	19.6	11.2	8.7	8.3	9.8
