"시군구코드","업종코드","년도","업소일련번호","업종명","허가신고일","업소명","소재지도로명","소재지지번","영업장면적(㎡)","소재지전화번호","영업자시작일","법인명","소재지시작일","행정동명","폐업일자","폐업구분","폐업사유","업태명","지상_부터","지상_까지","지하_부터","지하_까지","총층수","교육수료일자","모범음식점여부","급수시설","업소위치","종업원남","종업원여","급식소종류","평균급식인원수","최대급식인원수","1일급식인원수","일인당평균급식비","운영형태","영업장조리장면적(㎡)","영업장객실면적(㎡)","영업장무도장면적(㎡)","영업장기타면적(㎡)","업소내화장실면적(㎡)","타업소공동화장실면적(㎡)","영업장탈의실면적(㎡)","영업장객석면적(㎡)","작업장면적(㎡)","검사실면적(㎡)","진열(판매)대면적(㎡)","창고(보관소)면적(㎡)","허가(신고)번호","조건부허가시작일","조건부허가종료일","내외국인구분","국적"
"3200000","103","1994","08000","단란주점","19940927","주주 노래바","서울특별시 관악구 남부순환로 1702 (봉천동지하1층)","서울특별시 관악구 봉천동  945번지 1호  지하1층","61.66","  02 8884113  ","20200422","","19960325","청룡동","","","","단란주점","0","0","1","1","0","","비대상","","지하","0","0","","","","","","","5.70","9.99","0.00","2.50","0.00","14.00","0.00","43.47","0.00","0.00","","","3200000-103-1994-08000","","","내국인","대한민국"
"3200000","103","1994","08000","단란주점","19940927","주주 노래바","서울특별시 관악구 남부순환로 1702 (봉천동지하1층)","서울특별시 관악구 봉천동  945번지 1호  지하1층","61.66","  02 8884113  ","20200211","","19960325","청룡동","","","","단란주점","0","0","1","1","0","","비대상","","지하","0","0","","","","","","","5.70","9.99","0.00","2.50","0.00","14.00","0.00","43.47","0.00","0.00","","","3200000-103-1994-08000","","","내국인","대한민국"
"3200000","103","1994","08000","단란주점","19940927","주주 노래바","서울특별시 관악구 남부순환로 1702 (봉천동지하1층)","서울특별시 관악구 봉천동  945번지 1호  지하1층","61.66","  02 8884113  ","20160831","","19960325","청룡동","","","","단란주점","0","0","1","1","0","","비대상","","지하","0","0","","","","","","","5.70","9.99","0.00","2.50","0.00","14.00","0.00","43.47","0.00","0.00","","","3200000-103-1994-08000","","","내국인","대한민국"
"3200000","103","1996","08108","단란주점","19960202","애플노래바","서울특별시 관악구 남부순환로 1790 (봉천동지하1층)","서울특별시 관악구 봉천동  883번지 4호  지하1층","105.80","  02 8748988  ","20160120","","19981215","청룡동","20160822","자진폐업","사업부진","단란주점","","","1","1","","","비대상","","지하","","","","","","","","","6.90","26.15","0.00","1.87","0.00","3.00","0.00","70.88","0.00","0.00","","","3200000-103-1996-08108","","","내국인","대한민국"
"3200000","103","1998","08203","단란주점","19980204","모아7080라이브","서울특별시 관악구 남부순환로 1766 (봉천동)","서울특별시 관악구 봉천동  913번지 1호  ","108.84","010*******","20140930","","19980302","청룡동","","","","단란주점","","","","","","","비대상","","지하","","","","","","","","","9.25","24.86","0.00","16.26","2.25","","0.00","56.22","0.00","0.00","","","3200000-103-1998-08203","","","내국인","대한민국"
"3200000","103","1999","08042","단란주점","19990128","머루와다래","서울특별시 관악구 관악로 169 지하1층 (봉천동)","서울특별시 관악구 봉천동  862번지 7호  ","119.27","  02 8774609  ","20091210","","19951024","청룡동","","","","단란주점","0","0","1","1","0","20091112","비대상","상수도전용","지하","0","0","","","","","","","5.25","46.09","0.00","13.24","2.70","0.00","0.00","51.99","0.00","0.00","","","3200000-103-1999-08042","","","내국인","대한민국"
"3200000","103","2001","08053","단란주점","20010821","끼","서울특별시 관악구 남부순환로 1786 (봉천동지하1층)","서울특별시 관악구 봉천동  883번지 16호  지하1층","75.94","","20170321","","20010821","청룡동","","","","단란주점","0","0","1","1","0","","비대상","상수도전용","지하","0","0","","","","","","","6.44","27.51","0.00","1.53","0.00","3.00","0.00","40.46","0.00","0.00","","","3200000-103-2001-08053","","","내국인","대한민국"
"3200000","103","2001","08099","단란주점","20010622","에스비에스(SBS)노래장주점","서울특별시 관악구 관악로15길 39 (봉천동)","서울특별시 관악구 봉천동  877번지 1호  ","101.60","  02 8790191  ","20110330","","20010622","청룡동","","","","단란주점","0","0","1","1","0","20110613","비대상","상수도전용","지하","0","0","","","","","","","7.00","14.56","0.00","6.25","6.50","0.00","0.00","67.29","0.00","0.00","","","3200000-103-2001-08099","","","내국인","대한민국"
"3200000","103","2001","08151","단란주점","20010206","제이노래짱","서울특별시 관악구 남부순환로 1750 지하1층 (봉천동)","서울특별시 관악구 봉천동  922번지 2호  ","124.20","02  872 3407  ","20180612","","20010206","청룡동","","","","단란주점","","","","","","","비대상","","지하","","","","","","","","","5.40","23.92","0.00","21.56","0.00","10.00","6.90","66.42","0.00","0.00","","","3200000-103-2001-08151","","","내국인","대한민국"
"3200000","103","2001","08151","단란주점","20010206","제이노래짱","서울특별시 관악구 남부순환로 1750 지하1층 (봉천동)","서울특별시 관악구 봉천동  922번지 2호  ","124.20","02  872 3407  ","20130424","","20010206","청룡동","","","","단란주점","","","","","","","비대상","","지하","","","","","","","","","5.40","23.92","0.00","21.56","0.00","10.00","6.90","66.42","0.00","0.00","","","3200000-103-2001-08151","","","내국인","대한민국"
